"line_no","round","category","event","numeric_index","numeric_value","sanitized_text"
"45","8","MOS-Core","Initial population norms: min=0.0000, mean=198972211724288.0000, max=834422152626176.0000","3","834422152626176.0000","[MOS-Core] Initial population norms: min=0.0000, mean=198972211724288.0000, max=834422152626176.0000"
"46","8","MOS-Core","Budget ratios: min=0.0000, mean=0.2151, max=0.9021","1","0.0000","[MOS-Core] Budget ratios: min=0.0000, mean=0.2151, max=0.9021"
"46","8","MOS-Core","Budget ratios: min=0.0000, mean=0.2151, max=0.9021","2","0.2151","[MOS-Core] Budget ratios: min=0.0000, mean=0.2151, max=0.9021"
"46","8","MOS-Core","Budget ratios: min=0.0000, mean=0.2151, max=0.9021","3","0.9021","[MOS-Core] Budget ratios: min=0.0000, mean=0.2151, max=0.9021"
"47","8","MOS-Core","Clipped ratio: 0.00%","1","0.00","[MOS-Core] Clipped ratio: 0.00%"
"48","8","MOS-Core","Historical seed used: True",,,"[MOS-Core] Historical seed used: True"
"49","8","MOS-Core","Starting NSGA-II evolution...",,,"[MOS-Core] Starting NSGA-II evolution..."
"50","8","MOS-Core","Generations: 100","1","100","[MOS-Core] Generations: 100"
"51","8","MOS-Core","Population size: 10","1","10","[MOS-Core] Population size: 10"
"52","8","MOS-Core","SBX eta: 15.0, crossover_prob: 0.9","1","15.0","[MOS-Core] SBX eta: 15.0, crossover_prob: 0.9"
"52","8","MOS-Core","SBX eta: 15.0, crossover_prob: 0.9","2","0.9","[MOS-Core] SBX eta: 15.0, crossover_prob: 0.9"
"53","8","MOS-Core","Mutation scale: 0.05","1","0.05","[MOS-Core] Mutation scale: 0.05"
"54","8","MOS-Core","Gen 1/100:","1","1","[MOS-Core] Gen 1/100:"
"54","8","MOS-Core","Gen 1/100:","2","100","[MOS-Core] Gen 1/100:"
"55","8","general","Stealth: mean=0.641, best=1.000","1","0.641","Stealth: mean=0.641, best=1.000"
"55","8","general","Stealth: mean=0.641, best=1.000","2","1.000","Stealth: mean=0.641, best=1.000"
"56","8","general","Destructiveness: mean=276843022254080.000, best=833883603992576.000","1","276843022254080.000","Destructiveness: mean=276843022254080.000, best=833883603992576.000"
"56","8","general","Destructiveness: mean=276843022254080.000, best=833883603992576.000","2","833883603992576.000","Destructiveness: mean=276843022254080.000, best=833883603992576.000"
"57","8","general","CV: mean=1289216458752.0000, min=0.0000","1","1289216458752.0000","CV: mean=1289216458752.0000, min=0.0000"
"57","8","general","CV: mean=1289216458752.0000, min=0.0000","2","0.0000","CV: mean=1289216458752.0000, min=0.0000"
"58","8","general","Feasibility: count=3, ratio=30.00%","1","3","Feasibility: count=3, ratio=30.00%"
"58","8","general","Feasibility: count=3, ratio=30.00%","2","30.00","Feasibility: count=3, ratio=30.00%"
"59","8","general","Max feasible destruct: 0.000","1","0.000","Max feasible destruct: 0.000"
"60","8","general","Pareto front size: 10","1","10","Pareto front size: 10"
"61","8","general","Budget ratio: mean=0.310, max=0.905","1","0.310","Budget ratio: mean=0.310, max=0.905"
"61","8","general","Budget ratio: mean=0.310, max=0.905","2","0.905","Budget ratio: mean=0.310, max=0.905"
"62","8","general","Radial: mean_ratio=0.310, max_ratio=0.905, mean_score=0.812","1","0.310","Radial: mean_ratio=0.310, max_ratio=0.905, mean_score=0.812"
"62","8","general","Radial: mean_ratio=0.310, max_ratio=0.905, mean_score=0.812","2","0.905","Radial: mean_ratio=0.310, max_ratio=0.905, mean_score=0.812"
"62","8","general","Radial: mean_ratio=0.310, max_ratio=0.905, mean_score=0.812","3","0.812","Radial: mean_ratio=0.310, max_ratio=0.905, mean_score=0.812"
